中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,259 Mbps,33177 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,0 ms,56 Mbps,7215 kB/s
35.230.79.26,443,35.212.152.186,US,Seattle,隧道,68 ms,417 Mbps,53452 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,43 ms,683 Mbps,87449 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,80 ms,325 Mbps,41676 kB/s
152.70.56.137,443,2a0b:21c0:1007:c7:0:936e:87c9:1dc8,DE,Frankfurt,隧道,90 ms,228 Mbps,29286 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,16 ms,45 Mbps,5829 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,47 ms,163 Mbps,20889 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,8 ms,137 Mbps,17612 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,105 ms,259 Mbps,33177 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,55 ms,644 Mbps,82432 kB/s
47.90.141.204,443,91.149.239.234,US,Los Angeles,隧道,9 ms,35 Mbps,4587 kB/s
35.197.23.75,443,35.212.152.186,US,Seattle,隧道,83 ms,363 Mbps,46489 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,89 ms,386 Mbps,49459 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,76 ms,328 Mbps,41984 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,6 ms,60 Mbps,7717 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,83 ms,275 Mbps,35225 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,90 ms,12 Mbps,1600 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,116 ms,252 Mbps,32256 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,108 ms,45 Mbps,5812 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,100 ms,48 Mbps,6219 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,80 ms,171 Mbps,21913 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,89 ms,316 Mbps,40448 kB/s
