中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,12 ms,597 Mbps,76492 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,21 ms,412 Mbps,52838 kB/s
184.169.181.217,443,184.169.181.217,US,Portland,中转,64 ms,43 Mbps,5627 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,104 ms,252 Mbps,32256 kB/s
35.197.23.75,443,35.212.183.118,US,Seattle,隧道,83 ms,337 Mbps,43212 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,87 ms,307 Mbps,39321 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,8 ms,74 Mbps,9504 kB/s
35.230.79.26,443,35.212.183.118,US,Seattle,隧道,79 ms,320 Mbps,41062 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,71 ms,320 Mbps,40960 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,57 ms,412 Mbps,52736 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,72 ms,255 Mbps,32665 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,86 ms,277 Mbps,35532 kB/s
193.123.38.223,443,98.98.166.174,US,Frankfurt,隧道,91 ms,269 Mbps,34508 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,79 ms,352 Mbps,45056 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,86 ms,229 Mbps,29388 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,13 ms,69 Mbps,8933 kB/s
129.146.46.164,443,129.146.46.164,US,Salt Lake City,中转,135 ms,38 Mbps,4987 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,19 ms,9 Mbps,1255 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,95 ms,48 Mbps,6253 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,93 ms,187 Mbps,23961 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,103 ms,47 Mbps,6029 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,96 ms,48 Mbps,6187 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,125 ms,162 Mbps,20787 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,97 ms,47 Mbps,6101 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,110 ms,27 Mbps,3497 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,111 ms,43 Mbps,5586 kB/s
158.101.221.74,443,163.123.193.6,DE,Frankfurt,隧道,100 ms,253 Mbps,32460 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,81 ms,328 Mbps,41984 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,99 ms,47 Mbps,6088 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,101 ms,229 Mbps,29388 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,111 ms,255 Mbps,32665 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,92 ms,24 Mbps,3135 kB/s
