中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,28 ms,612 Mbps,78438 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,86 ms,240 Mbps,30822 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,88 ms,218 Mbps,27955 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,76 ms,260 Mbps,33382 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,70 ms,224 Mbps,28774 kB/s
35.197.23.75,443,35.185.254.49,US,Seattle,隧道,62 ms,342 Mbps,43827 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,87 ms,778 Mbps,99635 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,111 ms,283 Mbps,36249 kB/s
47.88.93.96,443,47.251.149.53,US,San Jose,隧道,73 ms,3 Mbps,468 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,2 ms,785 Mbps,100556 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,80 ms,27 Mbps,3500 kB/s
138.2.234.77,443,138.2.234.77,US,San Jose,中转,73 ms,47 Mbps,6070 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,77 ms,243 Mbps,31129 kB/s
158.101.214.219,443,2606:f240:f00:6acf:0:703b:cfcb:dfd5,US,Frankfurt,隧道,85 ms,220 Mbps,28262 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,79 ms,216 Mbps,27750 kB/s
35.230.79.26,443,35.185.254.49,US,Seattle,隧道,95 ms,369 Mbps,47308 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,99 ms,331 Mbps,42393 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,97 ms,70 Mbps,9019 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,82 ms,88 Mbps,11264 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,65 ms,350 Mbps,44851 kB/s
